事件名称,模式,选项,版本
镜里逃生,千面英雄,"向嘈杂的方向游曳。
向静谧的方向游曳。使石镜获得：进入【遭遇】或【奖励】区域时触发
向有祈祷的方向行进。
向有谕示的方向进行。
你感觉方向反了。
坚持继续向前。
向嘈杂的方向游曳。使石镜获得：进入【战斗】或【事件】区域时触发向静谧的方向游曳。使石镜获得：进入【遭遇】或【奖励】区域时触发
使石镜获得：进入【战斗】或【事件】区域时触发
使石镜获得：进入【遭遇】或【奖励】区域时触发
使石镜获得：进入【战斗】或【事件】区域时触发
使石镜获得：进入【遭遇】或【奖励】区域时触发
向有祈祷的方向行进。使石镜获得：有30%概率获得随机奇物，可能包含负面奇物向有谕示的方向进行。使石镜获得：有30%概率获得随机祝福
使石镜获得：有30%概率获得随机奇物，可能包含负面奇物
使石镜获得：有30%概率获得随机祝福
使石镜获得：有30%概率获得随机奇物，可能包含负面奇物
使石镜获得：有30%概率获得随机祝福
你感觉方向反了。使石镜获得：触发概率提高20%坚持继续向前。使石镜获得：不再能够获取负面奇物 / 使石镜获得：必定能获得方程所需的祝福
使石镜获得：触发概率提高20%
使石镜获得：不再能够获取负面奇物 / 使石镜获得：必定能获得方程所需的祝福
使石镜获得：触发概率提高20%
使石镜获得：不再能够获取负面奇物 / 使石镜获得：必定能获得方程所需的祝福",3.1
观星机器,千面英雄,"为他提供实践方案。
为他带去树庭的证伪。
向他提供理论援助。
使所有奇物损毁，每有1个奇物因此损毁就获得100宇宙碎片
随机获得4个已损毁的奇物
随机丢弃2个负面奇物，获得2个随机可损毁奇物",3.1
英雄的诞生（其一）,千面英雄,"卸下铠甲，轻装上阵。
先压一注赌你自己会输。
我方全体失去80%当前生命值，胜利后获得2个随机2星奇物和2个1-3星祝福
胜利后获得300宇宙碎片",3.1
英雄的诞生（其二）,千面英雄,"围猎被黑潮侵蚀的野猪。
加入一场伟大的冒险旅程。
刺杀盘踞在山谷中的魔怪。
进入一场危险的战斗，胜利后获得1个2-3星方程
进入战斗，胜利后获得400宇宙碎片
进入一场艰难的战斗，胜利后2个3星祝福",3.1
英雄的诞生（其三）,千面英雄,"和孩子们继续「远征」。
永恒地闭上眼睛。
进入战斗时对敌方全体造成99%当前生命值的伤害，胜利后获得3个1-2星祝福
获得1个随机1-3星方程和2个方程所需祝福，重置事件进度",3.1
腐败交易,千面英雄,"意思意思得了。消耗50宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：丢弃1个1-2星祝福，然后获得3个2-3星祝福我方全体失去80%当前生命值，获得3个1-2星祝福丢弃1个1-2星祝福，然后强化5个随机祝福
丢弃1个1-2星祝福，然后获得3个2-3星祝福
我方全体失去80%当前生命值，获得3个1-2星祝福
丢弃1个1-2星祝福，然后强化5个随机祝福
你向来尊老爱幼。消耗100宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：获得3个微妙的奇物随机获得4个奇物，其中包含1个负面奇物将所有奇物替换为新奇物，其中可能包含负面和微妙的奇物
获得3个微妙的奇物
随机获得4个奇物，其中包含1个负面奇物
将所有奇物替换为新奇物，其中可能包含负面和微妙的奇物
多给两块，升个舱。消耗120宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：随机丢弃1个方程所需祝福，然后获得1个3星方程我方全体失去80%当前生命值，然后获得1个2星方程丢弃1个随机1-2星方程，然后获得1个3星方程
随机丢弃1个方程所需祝福，然后获得1个3星方程
我方全体失去80%当前生命值，然后获得1个2星方程
丢弃1个随机1-2星方程，然后获得1个3星方程
甩开老人的亡魂。
丢弃1个1-2星祝福，然后获得3个2-3星祝福
我方全体失去80%当前生命值，获得3个1-2星祝福
丢弃1个1-2星祝福，然后强化5个随机祝福
获得3个微妙的奇物
随机获得4个奇物，其中包含1个负面奇物
将所有奇物替换为新奇物，其中可能包含负面和微妙的奇物
随机丢弃1个方程所需祝福，然后获得1个3星方程
我方全体失去80%当前生命值，然后获得1个2星方程
丢弃1个随机1-2星方程，然后获得1个3星方程
消耗50宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：
消耗100宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：
消耗120宇宙碎片，以下奖励随机出现一个，或选择放弃奖励：
直接离开",3.1
祈祷正匆忙,千面英雄,"独辟蹊径，向塔兰顿祈祷。获得1个2-3星奇物，有概率进入一场艰难的战斗
坚持向欧洛尼斯祈祷。获得1个2星奇物
祈求雅努斯的指引。有概率获得2个2星奇物或1个1星奇物
获得1个2-3星奇物，有概率进入一场艰难的战斗
获得1个2星奇物
有概率获得2个2星奇物或1个1星奇物",3.1
生命分岔（其一）,千面英雄,"无视错误。
进行修正。
消耗50宇宙碎片，获得4个方程所需的祝福，后续遇到相同事件进入生命分岔（其二）。
获得150宇宙碎片。",3.1
生命分岔（其二）,千面英雄,"掩盖实验事故。
粉饰实验事故。
公开修正错误。
进入一场艰难的战斗，胜利后获得1个1星祝福
消耗200宇宙碎片，获得1个1星祝福
消耗50宇宙碎片，不会再出现错误",3.1
海之声,千面英雄,"向大海献祭蜜酿。/向眷属们献祭蜜酿。
为海洋献上歌唱。/与眷属们对唱。
靠气势突破海洋！
花费100宇宙碎片，增加40%成功几率。
第一次小概率失败，第二次中概率失败。成功增加最终40%最终成功几率，失败进入一场艰难的战斗，胜利后获得胜利后获得3个2-3星祝福和1个1-3星奇物。
依照目前的几率结算，失败获得150宇宙碎片，成功获得2个2-3星祝福和1个1-3星奇物。",3.1
沉吟者,千面英雄,"追逐嗅探旧事的蝴蝶。
追逐飞过战场的蝴蝶。
追逐英雄肩上的蝴蝶。
追逐不期而遇的蝴蝶。
获得的奇物将与【事件】区域有关
获得的奇物将与【战斗】区域有关
获得的奇物将与【遭遇】区域有关
获得的奇物将与【财富】区域有关",3.1
棋中戏,千面英雄,"付出泰坦的恩赐。用神赐交换盾牌。丢弃1个1星方程。进入战斗，在3个轮内击败敌人可以获得2个1星方程用神赐交换长矛。丢弃1个2星方程。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个2星方程用神赐交换战车。丢弃1个3星方程。进入一场极其艰难的战斗，在3个轮内击败敌人可以获得2个3星方程
用神赐交换盾牌。丢弃1个1星方程。进入战斗，在3个轮内击败敌人可以获得2个1星方程
用神赐交换长矛。丢弃1个2星方程。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个2星方程
用神赐交换战车。丢弃1个3星方程。进入一场极其艰难的战斗，在3个轮内击败敌人可以获得2个3星方程
付出闪烁的财富。用财富交换匕首。丢弃300宇宙碎片。进入战斗，在3个轮内击败敌人可以获得600宇宙碎片用财富交换弓箭。丢弃400宇宙碎片。进入战斗，在3个轮内击败敌人可以获得800宇宙碎片用财富交换机运。丢弃500宇宙碎片。进入一场艰难的战斗，在3个轮内击败敌人可以获得1000宇宙碎片
用财富交换匕首。丢弃300宇宙碎片。进入战斗，在3个轮内击败敌人可以获得600宇宙碎片
用财富交换弓箭。丢弃400宇宙碎片。进入战斗，在3个轮内击败敌人可以获得800宇宙碎片
用财富交换机运。丢弃500宇宙碎片。进入一场艰难的战斗，在3个轮内击败敌人可以获得1000宇宙碎片
付出奇异的宝物。用宝物交换启示。丢弃1个1星奇物。进入战斗，在3个轮内击败敌人可以获得2个1星奇物用宝物交换谋略。丢弃1个2星奇物。进入战斗，在3个轮内击败敌人可以获得2个2星奇物用宝物交换奇袭。丢弃1个3星奇物。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个3星奇物
用宝物交换启示。丢弃1个1星奇物。进入战斗，在3个轮内击败敌人可以获得2个1星奇物
用宝物交换谋略。丢弃1个2星奇物。进入战斗，在3个轮内击败敌人可以获得2个2星奇物
用宝物交换奇袭。丢弃1个3星奇物。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个3星奇物
离开。
用神赐交换盾牌。丢弃1个1星方程。进入战斗，在3个轮内击败敌人可以获得2个1星方程
用神赐交换长矛。丢弃1个2星方程。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个2星方程
用神赐交换战车。丢弃1个3星方程。进入一场极其艰难的战斗，在3个轮内击败敌人可以获得2个3星方程
用财富交换匕首。丢弃300宇宙碎片。进入战斗，在3个轮内击败敌人可以获得600宇宙碎片
用财富交换弓箭。丢弃400宇宙碎片。进入战斗，在3个轮内击败敌人可以获得800宇宙碎片
用财富交换机运。丢弃500宇宙碎片。进入一场艰难的战斗，在3个轮内击败敌人可以获得1000宇宙碎片
用宝物交换启示。丢弃1个1星奇物。进入战斗，在3个轮内击败敌人可以获得2个1星奇物
用宝物交换谋略。丢弃1个2星奇物。进入战斗，在3个轮内击败敌人可以获得2个2星奇物
用宝物交换奇袭。丢弃1个3星奇物。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个3星奇物
丢弃1个1星方程。进入战斗，在3个轮内击败敌人可以获得2个1星方程
丢弃1个2星方程。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个2星方程
丢弃1个3星方程。进入一场极其艰难的战斗，在3个轮内击败敌人可以获得2个3星方程
丢弃300宇宙碎片。进入战斗，在3个轮内击败敌人可以获得600宇宙碎片
丢弃400宇宙碎片。进入战斗，在3个轮内击败敌人可以获得800宇宙碎片
丢弃500宇宙碎片。进入一场艰难的战斗，在3个轮内击败敌人可以获得1000宇宙碎片
丢弃1个1星奇物。进入战斗，在3个轮内击败敌人可以获得2个1星奇物
丢弃1个2星奇物。进入战斗，在3个轮内击败敌人可以获得2个2星奇物
丢弃1个3星奇物。进入一场艰难的战斗，在3个轮内击败敌人可以获得2个3星奇物
离开这里",3.1
多洛斯骰子,千面英雄,,3.1
冒牌眷属,千面英雄,"不行，得加钱。
无视暗示，进行公平的决斗。
接受好处，在决斗中放水。
战斗胜利后额外获得1个1-2星方程，敌人获得绝强的助力
战斗胜利后获得2个1-2星祝福
战斗胜利后额外获得200宇宙碎片，敌人额外增加助力",3.1
成功的标准比,千面英雄,"我有罪，我有罪啊！
天呐，我也不想这么成功。
我需要一些挑战。
获得1个绝对失败处方，获得400宇宙碎片。
获得2个绝对失败处方，获得1个3星方程。
获得3个绝对失败处方，获得1个3星奇物。",3.1
骇客与水手,人间喜剧千面英雄,"捞取更多深层数据
向数据表层上浮
收拾残存的数据
90%/70%/50%/30%/10%概率概率使奖励翻倍，10%/30%/50%/70%/90%概率清空奖励
领取所有奖励并离开（当前奖励：100/200/400/800/1600/3200宇宙碎片）
获得50宇宙碎片",2.7
缄默之殿,人间喜剧千面英雄,"向已死之王献上愤怒立即摧毁1个可损毁奇物，打开门扉带走嗔王的宝藏获得400宇宙碎片带走嗔王的回忆获得2个可损毁奇物
带走嗔王的宝藏获得400宇宙碎片
带走嗔王的回忆获得2个可损毁奇物
离开这个阴沉的地方离开并获得100宇宙碎片
带走嗔王的宝藏获得400宇宙碎片
带走嗔王的回忆获得2个可损毁奇物
立即摧毁1个可损毁奇物，打开门扉
获得400宇宙碎片
获得2个可损毁奇物
离开并获得100宇宙碎片",2.7
妙笔生花,人间喜剧千面英雄,"坚持作画
任何时候，放弃作画

花费25/50/100/200宇宙碎片，有25％/50％/75％/100％概率获得1个方程所需的3星祝福。
获得1个随机祝福。",2.7
多数派报告,人间喜剧千面英雄,"敲晕手法的黄金脑袋
敲晕动机的钻石脑袋
获得150宇宙碎片
10%概率获得5个随机祝福，40%概率获得2个随机奇物，50%概率获得100宇宙碎片",2.7
销售蓝海,人间喜剧千面英雄,"象征性意思意思
多买点送亲戚朋友
这台售货机，你承包了！
你决定入乡随俗
花费50宇宙碎片，购买2个随机1-2星祝福，有50%概率额外获得1个
花费100宇宙碎片，购买2个随机1-2星奇物，有50%概率额外获得1个
花费300宇宙碎片，购买2个随机1-2星方程，有50%概率额外获得1个
抢走它的商品，战斗胜利后获得1个随机奇物，1个随机祝福和100宇宙碎片",2.7
假未来,人间喜剧千面英雄,"改变我的未来。
放弃可疑的占卜。
获得奇物奥塔牌奥塔牌差分宇宙效果：在奥塔牌的谕示下，在你的前方，将是已被认知「确定」的命运效果第三位面首领将为【蛮神，疯王，纷争的化身（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【浮烟（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【奇想林中的蕉研组（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【步离战首•呼雷（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%谜语博士向来自诩为谜语大师巴德•巴比巴伯•巴拉毕生的宿敌。他用二十八种语法错误和三十六种语义漂变制作出一副奥塔牌，用它们置换掉占卜师们手中的塔奥牌。紊乱的词序和话语化作无序的乱流，最终，由占卜宣判的真实，替代了似是而非的现实。当眼前的一切都迥然不同时，改变的或许并非世界，而是人们看待它的眼睛。，效果详见奇物。
获得 100 宇宙碎片。",第三位面首领将为【蛮神，疯王，纷争的化身（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%
人生如菜（其一）,人间喜剧千面英雄,"惩凶除恶追击暴露的药王信徒，胜利后获得2个1-3星祝福
守望安宁协助工造司修理失控机巧，胜利后获得2个1-3星奇物
追击暴露的药王信徒，胜利后获得2个1-3星祝福
协助工造司修理失控机巧，胜利后获得2个1-3星奇物",2.7
人生如菜（其二）,人间喜剧千面英雄,"我要剿灭奸邪之徒围剿药王秘传的据点，胜利后获得400宇宙碎片
我要镇压危险之物处理失控的镇守金人，胜利后获得1个3星方程
围剿药王秘传的据点，胜利后获得400宇宙碎片
处理失控的镇守金人，胜利后获得1个3星方程",2.7
人生如菜（其三）,人间喜剧千面英雄,"我要登上演武仪典的擂台挑战演武仪典的擂主云骑骁卫•彦卿，胜利后获得2个3星祝福
我要去击退寿瘟的孽物迎击进犯的步离人步离战首•呼雷，胜利后获得1个3星方程
挑战演武仪典的擂主云骑骁卫•彦卿，胜利后获得2个3星祝福
迎击进犯的步离人步离战首•呼雷，胜利后获得1个3星方程",2.7
商店街一番战,人间喜剧千面英雄,"辣到怀疑人生的软糖
麻到怀疑妖生的硬糖
叽里咕噜无语水果糖
获得1个3星方程，获得1个随机负面奇物
舍弃5个随机奇物，获得1个3星奇物
获得300宇宙碎片，获得1个和宇宙碎片相关的奇物",2.7
速度与引擎,不可知域千面英雄,"无论选项选择什么，竞猜失败。
无论第一个选项选什么，第二个选项选择不输就是赢。
押最快的那艘。
押最稳的那艘。
押最慢的那艘。
获得150宇宙碎片。
获得150宇宙碎片。
成功获得200宇宙碎片，加注成功400宇宙碎片。
成功获得3个随机1-3星祝福，加注成功6个随机1-3星祝福。
成功获得2个随机2-3星祝福和1个1-2星方程，加注成功4个随机2-3星祝福和2个1-2星方程",2.6
愚人船,不可知域千面英雄,"狰狞面具的笑话。
咧嘴面具的笑话。
舞会面具的笑话。
狐狸面具的笑话。
完整面具的笑话。
破碎面具的笑话。
选择1个1-3星随机奇物。
获得2个随机负面奇物。
选择1个1-3星随机方程。
获得3个随机负面奇物。
获得999宇宙碎片后失去888宇宙碎片。
获得奇物闪耀的偏方三八面骰。",2.6
培养皿,不可知域千面英雄,"触碰理性。
触碰感性。
向深处沉没。
成功获得1个3星奇物，失败获得3个1星奇物。
成功获得1个3星祝福，失败获得2个1星祝福。
获得1个1星祝福和1个1星奇物。",2.6
修补匠（其一）,不可知域,"留下随身的塑料装饰。
留下生锈的金属部件。
留下废旧的电子设备。
回收1个1星组件，获得200宇宙碎片。
回收1个2星组件，获得300宇宙碎片。
回收1个3星组件，获得500宇宙碎片。",2.6
修补匠（其二）,不可知域,"加入一点点零件。
加入一点点灵感。
倒入一点点喜悦。
根据其一中回收组件的星级，返还1个相同星级的随机组件。
消费100宇宙碎片，根据其一中回收组件的星级，返还2个相同星级的随机组件。
消费400宇宙碎片，根据其一中回收组件的星级，返还3个相同星级的随机组件。",2.6
选择困难（其一）,人间喜剧千面英雄,"仙舟联名套餐。
骇鸟水果乱炖。
大数据会给出答案。
获得2个1-2星奇物。
获得2个1-2星祝福。
获得100宇宙碎片。下次进入相同事件会变成其二。",2.5
选择困难（其二）,人间喜剧千面英雄,"生命维持套餐。
获得2个2-3星祝福和2个1-3星随机奇物。",2.5
跳蚤市场,人间喜剧千面英雄,"讲述多彩的旅途。雪原的赏金猎人。失去1个1星祝福，获得3个2-3星祝福。欠揍的阿哈玩偶。失去1个2星祝福，获得4个可损毁奇物。图书馆的虚构史学家。失去1个3星祝福，获得4个方程所需的随机祝福。
雪原的赏金猎人。失去1个1星祝福，获得3个2-3星祝福。
欠揍的阿哈玩偶。失去1个2星祝福，获得4个可损毁奇物。
图书馆的虚构史学家。失去1个3星祝福，获得4个方程所需的随机祝福。
讲述惊奇的冒险。远古的渴血巨兽。失去1个1星奇物，获得500宇宙碎片。下厨的王下一桶。失去1个2星奇物，获得4个随机1-3星祝福。计算机的猜拳游戏。失去1个3星奇物，获得4个3星祝福。
远古的渴血巨兽。失去1个1星奇物，获得500宇宙碎片。
下厨的王下一桶。失去1个2星奇物，获得4个随机1-3星祝福。
计算机的猜拳游戏。失去1个3星奇物，获得4个3星祝福。
讲述朴实的生活。昨晚的梦。失去50宇宙碎片，获得3个1-3星奇物。帕姆的尾巴。失去150宇宙碎片，获得3个3星祝福。姬子的咖啡。失去400宇宙碎片，获得2个2-3星方程。
昨晚的梦。失去50宇宙碎片，获得3个1-3星奇物。
帕姆的尾巴。失去150宇宙碎片，获得3个3星祝福。
姬子的咖啡。失去400宇宙碎片，获得2个2-3星方程。
雪原的赏金猎人。失去1个1星祝福，获得3个2-3星祝福。
欠揍的阿哈玩偶。失去1个2星祝福，获得4个可损毁奇物。
图书馆的虚构史学家。失去1个3星祝福，获得4个方程所需的随机祝福。
远古的渴血巨兽。失去1个1星奇物，获得500宇宙碎片。
下厨的王下一桶。失去1个2星奇物，获得4个随机1-3星祝福。
计算机的猜拳游戏。失去1个3星奇物，获得4个3星祝福。
昨晚的梦。失去50宇宙碎片，获得3个1-3星奇物。
帕姆的尾巴。失去150宇宙碎片，获得3个3星祝福。
姬子的咖啡。失去400宇宙碎片，获得2个2-3星方程。
失去1个1星祝福，获得3个2-3星祝福。
失去1个2星祝福，获得4个可损毁奇物。
失去1个3星祝福，获得4个方程所需的随机祝福。
失去1个1星奇物，获得500宇宙碎片。
失去1个2星奇物，获得4个随机1-3星祝福。
失去1个3星奇物，获得4个3星祝福。
失去50宇宙碎片，获得3个1-3星奇物。
失去150宇宙碎片，获得3个3星祝福。
失去400宇宙碎片，获得2个2-3星方程。",2.5
语义不符,人间喜剧千面英雄,"挑战十个字的句子。与1个强力的精英敌人战斗，胜利后获得4个随机祝福。
挑战两个五字短语。与2个精英敌人战斗，胜利后获得4个随机祝福。
拆散它携带的字符。与一群敌人战斗，胜利后获得3个随机祝福。
与1个强力的精英敌人战斗，胜利后获得4个随机祝福。
与2个精英敌人战斗，胜利后获得4个随机祝福。
与一群敌人战斗，胜利后获得3个随机祝福。",2.5
菠萝面包,人间喜剧千面英雄,"选择菠萝。
选择面包。
喝瓶水冷静冷静。
获得3个随机祝福，并获得负面奇物：菠萝。
放弃挑战。
随机获得3个微妙的奇物。",2.5
联名产品,人间喜剧千面英雄,"玩的就是一个刺激。花费200宇宙碎片，抽5次。
就当照顾学会的生意！花费50宇宙碎片，抽1次。
离开。选择离开
花费200宇宙碎片，抽5次。
花费50宇宙碎片，抽1次。
选择离开",2.5
红色诱惑,人间喜剧千面英雄,,2.5
特别优惠,人间喜剧千面英雄,"让它看看你有多强。你最好再想想。（至少一个展开的3星方程）获得3个随机祝福。这个够了吗？（至少一个展开的2星方程，没有展开的3星方程）售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。太贵了。你选择离开。给我个面子。（没有展开的2星或3星方程）售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
你最好再想想。（至少一个展开的3星方程）获得3个随机祝福。
这个够了吗？（至少一个展开的2星方程，没有展开的3星方程）售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。太贵了。你选择离开。
售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。
太贵了。你选择离开。
给我个面子。（没有展开的2星或3星方程）售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。
我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
打不过，溜了溜了。获得150宇宙碎片。
你最好再想想。（至少一个展开的3星方程）获得3个随机祝福。
这个够了吗？（至少一个展开的2星方程，没有展开的3星方程）售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。太贵了。你选择离开。
售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。
太贵了。你选择离开。
给我个面子。（没有展开的2星或3星方程）售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。
我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
售货机亮出了折扣。花费50宇宙碎片，获得2个随机祝福。
太贵了。你选择离开。
售货机亮出了售价。花费200宇宙碎片，获得2个随机祝福。
我要免费的！进入一场艰难的战斗，胜利后获得2个随机祝福。
获得3个随机祝福。
花费50宇宙碎片，获得2个随机祝福。
你选择离开。
花费200宇宙碎片，获得2个随机祝福。
进入一场艰难的战斗，胜利后获得2个随机祝福。
获得150宇宙碎片。",2.5
熔岩,人间喜剧千面英雄,"重铸武器。
熔炼武器。
精锻武器。
舍弃1个奇物，并重新获得它。
失去2个随机奇物，获得1个加权奇物。
舍弃1个奇物，获得1个星级相同或更高的随机奇物。",2.5
时间银行（其一）,人间喜剧千面英雄,"取走银行卡。获得150宇宙碎片，请记住您的密保答案。
获得150宇宙碎片，请记住您的密保答案。",2.5
时间银行（其二）,人间喜剧千面英雄,"密保验证成功。提取本金。获得400宇宙碎片。提取利息。获得3个1-3星奇物。提取知识。获得1个随机2-3星方程。提取记忆。获得2个随机3星祝福。
提取本金。获得400宇宙碎片。
提取利息。获得3个1-3星奇物。
提取知识。获得1个随机2-3星方程。
提取记忆。获得2个随机3星祝福。
密保验证失败，先离开吧。获得100宇宙碎片。
提取本金。获得400宇宙碎片。
提取利息。获得3个1-3星奇物。
提取知识。获得1个随机2-3星方程。
提取记忆。获得2个随机3星祝福。
获得400宇宙碎片。
获得3个1-3星奇物。
获得1个随机2-3星方程。
获得2个随机3星祝福。
获得100宇宙碎片。",2.5
