名称,模式,TAG,获取方式,效果,版本,星级
机运窗,千面英雄,暴击伤害 /  奇物获取,无,进入【事件】【奖励】【遭遇】区域时，获得1个奇物，并失去1个奇物。该奇物每生效1次，我方全体造成的暴击伤害提高8%,3.3,3星
赐福残晶•纷争,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标对精英敌人造成的伤害提高2.5%,3.3,2星
赐福残晶•天空,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标生命值变化后的下一次攻击造成的伤害提高2.5%,3.3,2星
赐福残晶•死亡,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，敌方受到的持续伤害提高1.5%,3.3,2星
赐福残晶•诡计,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标造成的追加攻击和附加伤害提高2.5%,3.3,2星
赐福残晶•理性,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标造成的终结技伤害提高2.5%,3.3,2星
赐福残晶•岁月,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标造成的伤害提高1.5%，忆灵额外提高1.0%,3.3,2星
赐福残晶•门径,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，敌方受到的击破伤害提高1.5%,3.3,2星
赐福残晶•浪漫,千面英雄,造成伤害,无,当前拥有的祝福和方程每有1个星级，我方目标造成的普攻和战技伤害提高2.5%,3.3,2星
许愿托盘,千面英雄,方程获取 /  祝福获取 /  可损毁,特定事件,"将愿望放置于托盘，当你完成旅行，赐福自会到来效果进入7个区域后,该奇物损毁。损毁时，若拥有的宇宙碎片数量大于等于1,500，则获得1个3星方程和3个方程所需的祝福进入7个区域后,该奇物损毁。损毁时，若至少展开2个3星方程，则获得1个3星方程和3个方程所需的祝福进入7个区域后,该奇物损毁。损毁时，若至少拥有2个3星奇物，则获得1个3星方程和3个方程所需的祝福",3.3,2星
好运饼干,千面英雄,宇宙碎片,无,【商店】区域的出现概率提高。在单个【商店】区域累计花费800宇宙碎片购买商品后，立即返还400宇宙碎片，每个【商店】区域最多生效1次,3.3,2星
失金爪锚,千面英雄,宇宙碎片 /  可损毁,无,立即获得500宇宙碎片。5个区域后，该奇物损毁。进入区域时，若拥有的宇宙碎片数量小于500，则失去5个随机祝福，然后该奇物损毁,3.3,2星
钢筋铁骨按摩器,千面英雄,无,无,将所有【战斗】区域中的内容替换为【遭遇】区域，且进入【战斗】或【遭遇】区域时有30%的概率获得一个「绝对失败处方」,3.3,2星
门的彼岸,千面英雄,无,无,大幅提高在【事件】区域出现2个事件的概率，但【奖励】区域只会出现1个奖励事件,3.3,2星
无爱之尘,千面英雄,获得方程,无,进入区域时，若拥有的奇物数量大于等于4，则立即失去该奇物与其他3个随机奇物，并获得1个1-3星方程,3.3,1星
烈阳之舞,千面英雄,宇宙碎片,无,奇物损毁时，获得30宇宙碎片,3.3,1星
龙骨盾,千面英雄,无,无,【战斗】区域出现次元扑满的概率提高，【遭遇】区域出现的概率大幅降低,3.3,1星
无奖竞答,千面英雄,无,无,你可以与【商店】区域的黑塔进行战斗。胜利后随机获得3个奇物商店中的商品，然后失去该奇物，且奇物商店从当前【商店】区域消失,3.3,1星
飞向高天Ⅰ型,千面英雄,无,特定事件,战斗开始时，编队中的第二位角色陷入眩晕状态，该效果无法被解除，持续2回合,3.3,负面奇物
飞向高天Ⅱ型,千面英雄,无,特定事件,战斗开始时，编队中的第三位角色陷入眩晕状态，该效果无法被解除，持续2回合,3.3,负面奇物
飞向高天Ⅲ型,千面英雄,无,特定事件,战斗开始时，编队中的第四位角色陷入眩晕状态，该效果无法被解除，持续2回合,3.3,负面奇物
驭兽缰盘,千面英雄,无,特定事件,进入区域后，可选择前往的下一个区域数量减少1个，最少不小于1个。效果触发3次后该奇物损毁,3.3,负面奇物
强者竞技,千面英雄,无,无,进入战斗后，行动序列上出现【球】，【球】回合开始时爆炸并对我方全体造成当前生命值95%的伤害，同时对敌方全体造成等同于当前生命值30%的伤害。【球】拥有基础速度70，爆炸后消失,3.3,负面奇物
片刻安谧,千面英雄,无,无,获得该奇物时，立即获得5个随机1星方程。获得该奇物或2-3星方程时，将所有2-3星方程替换为随机1星方程。每有1个已激活的1星方程，我方全体造成的伤害提高25%，激活4个或以上1星方程时，伤害加成提高到35%,3.1,3星
狂欢之尾,千面英雄,无,无,所有奇物获得时触发的效果会额外触发1次，每个区域最多触发3次,3.1,3星
不眠鸱鸮,千面英雄,无,无,白昼时，我方全体回复量与获得的护盾量提高20%，受到的伤害降低12%，且攻击敌方目标时有25%的概率选择错误的目标,3.1,2星
垂语果实,千面英雄,无,无,立即获得1个随机祝福。失去此奇物后会再次获得它，并使奖励的祝福数量提高1个，最多提高至4个,3.1,2星
机运长袍,千面英雄,无,无,进入【事件】区域时，失去150宇宙碎片并将事件替换为奖励，宇宙碎片不足时该奇物损毁,3.1,2星
沉吟圆盘,千面英雄,宇宙碎片 /  速度 /  能量恢复 /  祝福获取 /  可损毁,特定事件,当你追逐到属于自己的那只蝴蝶，歌声也会因你而改变效果进入【事件】区域时，固定出现2个微妙的事件。生效后该奇物损毁进入【战斗】区域时，将敌人替换为普通精英，生效后该奇物损毁。奇物损毁时获得2个祝福进入【遭遇】区域时，我方全体损失20%当前生命值，生效后该奇物损毁。奇物损毁时获得2个1-2星奇物进入【财富】区域时，将宝箱替换为诅咒宝箱，生效后该奇物损毁。奇物损毁时获得2个随机1星方程,3.1,2星
法度刻印,千面英雄,无,无,夜晚时，我方目标速度提高25%，暴击伤害提高50%，且行动序列变为不可见状态,3.1,2星
深度睡眠,千面英雄,无,无,出现【冒险】区域的概率提升。进入【冒险】区域时获得50宇宙碎片，完成区域时的奖励档位提升1档,3.1,2星
真实机兵,千面英雄,无,无,失去奇物时，获得75宇宙碎片,3.1,2星
神启石镜,千面英雄,无,特定事件,当你做出选择，雅努斯的指引，将为你照亮前行的方向效果进入【战斗】或【事件】区域时，有50%概率获得1个随机奇物，可能包含负面奇物进入【战斗】或【事件】区域时，有30%概率获得1个随机奇物进入【战斗】或【事件】区域时，有50%概率获得1个随机祝福进入【战斗】或【事件】区域时，有30%概率获得1个方程所需的祝福进入【遭遇】或【奖励】区域时，有50%概率获得1个随机奇物，可能包含负面奇物进入【遭遇】或【奖励】区域时，有30%概率获得1个随机奇物进入【遭遇】或【奖励】区域时，有50%概率获得1个随机祝福进入【遭遇】或【奖励】区域时，有30%概率获得1个方程所需的祝福,3.1,2星
绑架机器人,千面英雄,可损毁,无,出现【遭遇】区域的概率提高。累计进入1/3/5次【遭遇】区域时，获得1个随机1/2/3星方程，触发所有效果后该奇物损毁,3.1,2星
同谐火漆,千面英雄,无,无,获得该奇物时，随机获得1个「同谐」的祝福。并在战斗胜利后选择祝福时，提高「同谐」的祝福出现的概率,3.1,1星
丰裕滚石,千面英雄,无,无,进入第三位面，及第三位面获得该奇物时，获得1个金血祝颂,3.1,1星
昨天的重量,千面英雄,无,无,进入区域时，获得35宇宙碎片，当宇宙碎片减少次数累计达到3次时，该奇物损毁,3.1,1星
祭献投枪,千面英雄,无,无,进入【战斗】【转化】【遭遇】【首领】区域时，获得35宇宙碎片，连续进入时额外获得35宇宙碎片。进入【事件】【奖励】【冒险】【财富】区域时失去35宇宙碎片,3.1,1星
绝对自灭药膏,千面英雄,微妙的奇物,无,立即获得2个方程所需的祝福，失去2个方程不需要的祝福,3.1,1星
知识注射枪,千面英雄,微妙的奇物,无,祝福和奇物商店中出现2个免费商品，其他商品的售价提高100%,3.1,1星
自适应礼品盒,千面英雄,微妙的奇物,无,获得该奇物时，失去所有宇宙碎片，然后随机获得失去值10%-200%的宇宙碎片,3.1,1星
快乐电视机,千面英雄,无,无,连续进入相同区域时，失去25宇宙碎片和1个随机1-3星奇物,3.1,负面奇物
虫群录像带,千面英雄,无,无,祝福排排乐和奇物大转盘消耗的宇宙碎片数量提高25%,3.1,负面奇物
天使型谢债发行机（原型机）,人间喜剧,宇宙碎片 /  可损毁,周期演算,战斗胜利后，无法获得宇宙碎片。累计进入8个区域后，该奇物损毁，并使当前拥有的宇宙碎片数量翻倍,3.0,3星
天使型谢债发行机（量产机）,人间喜剧,宇宙碎片 /  可损毁,周期演算,战斗胜利后，无法获得宇宙碎片。累计进入11个区域后，该奇物损毁，并使当前拥有的宇宙碎片数量翻倍,3.0,3星
许愿星（破解版）,人间喜剧,无,周期演算,【冒险】区域的出现概率大幅提高。携带该奇物进入【冒险】区域后，使得该区域的限制时间提高50%，并在进入区域时额外获得一个宝箱,3.0,3星
记忆轮（破解版）,人间喜剧,无,周期演算,进入战斗时，获得所有未展开方程的效果,3.0,3星
故事的现在时,"人间喜剧, 千面英雄",暴击率 /  暴击伤害 /  造成伤害,无,队伍中每有1名「同谐」「丰饶」「存护」「记忆」命途的角色，上述命途角色暴击率提高15%，暴击伤害提高25%，施放攻击后，对攻击目标造成等同于生命上限、防御力与攻击力之和75%的附加伤害。,2.7,加权奇物
自动化体验,"人间喜剧, 千面英雄",伤害减免,无,「毁灭」「虚无」命途角色施放攻击后，使受到攻击的敌方目标行动提前20%，并使其造成的伤害降低30%，持续1回合,2.7,加权奇物
祈祷之路,"人间喜剧, 千面英雄",生命值 /  提供护盾,无,「巡猎」「智识」命途角色生命上限提高60%，回合开始时，消耗15%当前生命值，并获得等同于生命上限25%的护盾。,2.7,加权奇物
英雄凯旋,"人间喜剧, 千面英雄",宇宙碎片 /  直接伤害,无,进入战斗时，对生命值最高的敌方目标造成等同于其生命上限100%的伤害，并获得88宇宙碎片，在首领区域造成的伤害减半,2.7,3星
无人通讯（破解版）,人间喜剧,可损毁,周期演算,奇物损毁时，使其恢复如新。效果触发6次后，该奇物损毁,2.7,3星
高热饮食（破解版）,人间喜剧,方程获取,周期演算,进入战斗时，获得随机临界方程效果，不会覆盖已激活临界方程效果,2.7,3星
高热饮食,"人间喜剧, 千面英雄",方程获取 /  可损毁,无,进入战斗时，获得随机临界方程效果，战斗胜利1次后，该奇物损毁。不会覆盖已激活临界方程效果,2.7,2星
无人通讯,"人间喜剧, 千面英雄",可损毁,无,奇物损毁时，使其恢复如新。效果触发2次后，该奇物损毁,2.7,2星
末日复眼•先行版,"人间喜剧, 千面英雄",祝福获取 /  微妙的奇物,无,"获得该奇物时，立即获得4个拥有祝福数量最多的命途的祝福。覆写祝福、覆写方程所需的宇宙碎片提高1,000%",2.7,2星
奥塔牌,"人间喜剧, 千面英雄",无,特定事件,在奥塔牌的谕示下，在你的前方，将是已被认知「确定」的命运效果第三位面首领将为【蛮神，疯王，纷争的化身（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【浮烟（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【奇想林中的蕉研组（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%第三位面首领将为【步离战首•呼雷（完整）】，在第三位面【首领】区域进入战斗时，我方全体造成的伤害提高50%,2.7,2星
和平箱,"人间喜剧, 千面英雄",祝福获取,无,展开1个2星及以上方程后，获得1个随机祝福，效果最多触发5次,2.7,2星
天才俱乐部危险八卦,"人间喜剧, 千面英雄",宇宙碎片 /  奇物获取,无,无法获得宇宙碎片，每因为该奇物的效果损失100宇宙碎片，获得1个随机1-3星奇物，累计获得5个奇物后损毁,2.7,1星
杀死那只蝴蝶,千面英雄,组件获取 /  可损毁,无,累计开启6个宝箱后，出现【奇遇-宝箱】区域的概率大幅提升。进入【奇遇】区域后，丢弃该奇物,2.6,2星
量子大乐透,千面英雄,组件获取 /  可损毁 /  可破坏物,无,击碎可破坏物后有小概率获得负面奇物，但也有小概率使该奇物损毁。奇物损毁时，获得400宇宙碎片,2.6,1星
铸铁的齿轮指环,千面英雄,权杖获取,无,获得宇宙碎片的数量提高30%，但商店中物品的售价和覆写祝福、方程消耗的宇宙碎片数量提高30%,2.6,1星
铸铁的机动指环,千面英雄,权杖获取 /  微妙的奇物,无,获得宇宙碎片的数量降低50%，覆写方程和祝福消耗的宇宙碎片数量降低100%，覆写祝福的次数上限降低为7,2.6,1星
十光年不晚,"人间喜剧, 千面英雄",造成伤害,无,「巡猎」命途角色发动攻击造成伤害时，对相邻目标额外造成等同于原伤害40%的伤害,2.5,加权奇物
偶有越狱,"人间喜剧, 千面英雄",造成伤害,无,「存护」命途角色与「记忆」命途忆灵，当前生命值等于生命上限时，受到攻击的概率大幅提高且受到的伤害降低30%；每回合首次受到攻击后，我方全体回复等同于各自生命上限20%的生命值，且造成的伤害提高50%，持续2回合。,2.5,加权奇物
熵的逆命题,"人间喜剧, 千面英雄",击破特攻,无,进入战斗时，「风」「雷」属性我方目标的击破特攻提高，提高至队伍中击破特攻最高的我方目标的120%,2.5,加权奇物
静谧的歌声,"人间喜剧, 千面英雄",提供护盾,无,「同谐」命途角色对我方目标施放普攻/战技/终结技时，为我方全体角色提供能够抵消等同于各自生命上限25%伤害的护盾，持续2回合,2.5,加权奇物
拟赤月,"人间喜剧, 千面英雄",无,无,「丰饶」命途角色攻击敌方目标时，有150%的基础概率使其陷入【坏死】状态：回合开始时，受到等同于角色攻击力600%的火属性持续伤害，持续3回合，并使当前承受的其他灼烧状态立刻产生相当于原伤害200%的伤害,2.5,加权奇物
利他者的末路,"人间喜剧, 千面英雄",攻击力 /  造成伤害,无,「虚数」属性我方目标累计生命降低值，在任意单位行动后，为随机「量子」属性我方目标恢复等同于该值50%的生命值，每回合的治疗量不超过治疗者生命上限的50%。「量子」属性我方目标累计生命降低值，在任意单位行动后，使随机「虚数」属性我方目标下次施放攻击后，对攻击目标造成等同于该值300%的量子属性附加伤害,2.5,加权奇物
入乡随俗,"人间喜剧, 千面英雄",无,无,【财富】区域会出现更多游乐装置。提高【战斗】【事件】【遭遇】【奖励】【商店】区域额外游乐装置出现的概率。将出现特殊的祝福排排乐和奇物大转盘，且使用次数增加。每游玩一次游乐装置，我方全体造成的伤害提高10%,2.5,3星
虚高一丈,"人间喜剧, 千面英雄",宇宙碎片 /  攻击力,无,获得1/2/3星奇物时，立即获得20/40/120宇宙碎片。每拥有1个1/2/3星奇物，进入战斗时，使我方目标攻击力提高3%/6%/20%,2.5,3星
化作尘泥,"人间喜剧, 千面英雄",热量,无,在造物调试台中，额外获得5点可使用热量,2.5,2星
无主失物,"人间喜剧, 千面英雄",可损毁,无,出现【奇遇】区域的概率提高，每次进入区域时，概率额外提高。进入【奇遇】区域后，丢弃该奇物,2.5,2星
古老通讯,"人间喜剧, 千面英雄",可损毁,无,出现次元扑满的概率大幅提高，进入存在次元扑满的区域后，该奇物损毁,2.5,2星
有形幸运,"人间喜剧, 千面英雄",宇宙碎片,无,进入区域时，如果宇宙碎片数量小于250，则将宇宙碎片补足为250,2.5,2星
水上书,"人间喜剧, 千面英雄",生命回复 /  能量回复 /  复活,无,进入区域时，我方全体回复全部生命值、能量值与秘技点，并重置所有陷入无法战斗状态的角色,2.5,2星
朋克洛德平衡,"人间喜剧, 千面英雄",直接伤害 /  可损毁,无,敌方目标进入战斗时，受到等同于各自生命上限99%的固定数值的伤害，【首领】和【转化】区域无效。获得2场战斗胜利后，该奇物损毁,2.5,1星
埋点土,"人间喜剧, 千面英雄",宇宙碎片 /  可损毁,无,获得3/6/9场战斗胜利后，获得50/150/250宇宙碎片。获得9场战斗胜利后，该奇物损毁,2.5,1星
超霸王陀螺,"人间喜剧, 千面英雄",击破特攻 /  弱点,无,我方目标击破特攻提高30%。敌方目标进入战斗时，被削减等同于韧性上限50%的韧性，该效果不会击破敌方目标弱点,2.5,1星
有梦-0110,"人间喜剧, 千面英雄",造成伤害 /  微妙的奇物,无,进入战斗时，我方全体造成的伤害提高50%，15回合后，受到的伤害提高10%,2.5,1星
菠萝,"人间喜剧, 千面英雄",生命值 /  可损毁,特定事件,累计进入3个区域后该奇物损毁，并使我方全体损失99%当前生命值,2.5,负面奇物
旧皮囊,"人间喜剧, 千面英雄",组件获取 /  热量,无,在造物调试台中，减少1点可使用热量,2.5,负面奇物
营养过剩,"人间喜剧, 千面英雄",提供护盾,无,我方目标受到来自「丰饶」命途角色的治疗后，获得等同于溢出治疗量100%的可叠加护盾，该护盾上限等同于我方目标生命上限的50%，回合结束时移除,2.3,加权奇物
尊严与热忱,"人间喜剧, 千面英雄",提供护盾,无,队伍中有「存护」命途角色时，我方目标获得特殊护盾，获得其他护盾时该护盾会增加获取护盾量100%的护盾量。超过生命上限30%的部分，会在回合开始时失去90%，并回复失去护盾量10%的生命值,2.3,加权奇物
云间肉排,"人间喜剧, 千面英雄",击破特攻,无,「毁灭」「虚无」命途角色击破特攻提高25%。攻击处于弱点击破状态的敌方目标后，以80%的比例触发火、风、雷、物理属性的击破效果，敌方目标每次被弱点击破后最多触发1次效果,2.3,加权奇物
石语者结片,"人间喜剧, 千面英雄",速度 /  效果减免 /  造成伤害,无,「雷」属性我方目标会抵抗所有使自身陷入控制类负面状态的效果，触发该效果时，行动提前50%。每受到1%行动提前效果，下回合造成的伤害提高1%，最多提高200%,2.3,加权奇物
醒觉-310,"人间喜剧, 千面英雄",无,无,"「虚数」「冰」属性我方目标施加的控制状态无视冻结/控制/禁锢抗性，解除时对敌方目标造成1,500%的悬浮框基础伤害敌方目标等级、阈值协议越高，造成的基础伤害越高。并使其造成的伤害降低5%，造成的伤害与施加的伤害降低可叠加，最多叠加4次",2.3,加权奇物
入梦罐,"人间喜剧, 千面英雄",无,无,非「同谐」命途我方目标施放攻击后，会为我方随机「同谐」命途角色提供1层【和弦】：最多叠加30层，施放普攻后，消耗【和弦】层数，每消耗1层，对攻击目标造成500%悬浮框基础伤害敌方目标等级、阈值协议越高，造成的基础伤害越高。的伤害,2.3,加权奇物
平行宇宙对讲机,"人间喜剧, 千面英雄",无,无,"「智识」角色攻击消灭敌方目标后，若伤害溢出，对攻击目标中当前生命值最高的目标造成1,000%悬浮框基础伤害敌方目标等级、阈值协议越高，造成的基础伤害越高。+100%溢出值的真实伤害",2.3,加权奇物
喧哗上等,"人间喜剧, 千面英雄",弱点,无,「火」属性角色数量为1/2/3/4时，造成的火属性持续伤害提高等同于攻击力的50%/100%/150%/300%，施放攻击后，使攻击目标当前承受的灼烧状态立即产生相当于原伤害30%的伤害,2.3,加权奇物
美味球藻糖,"人间喜剧, 千面英雄",速度 /  生命回复,无,「物理」「火」属性角色施放终结技后，会使我方全体回复等同于生命上限25%的生命值，并使自身速度提高20%，持续2回合，最多叠加2层,2.3,加权奇物
首次旅程,人间喜剧,弱点,无,「雷」「冰」属性角色弱点击破效率提高30%。施放攻击后，本次攻击每造成10点实际削韧值，角色行动提前1.5%,2.3,加权奇物
神圣容颜,"人间喜剧, 千面英雄",造成伤害,无,「物理」属性角色数量大于等于2时，这些角色击破特攻提高200%，攻击造成75%的无视弱点削韧，且击破敌方目标弱点时对敌方全体造成200%的物理属性击破伤害,2.3,加权奇物
天才的迷茫时间,"人间喜剧, 千面英雄",弱点,无,「量子」属性我方目标获得战技点后，使我方全体获得2层【激发】，我方目标施放普攻/战技发动攻击后，消耗全体1层【激发】对攻击目标造成等同于250%攻击力的量子属性附加伤害，并有50%基础概率使其陷入纠缠状态，持续1回合,2.3,加权奇物
风中花蕾,"人间喜剧, 千面英雄",伤害减免,无,「风」属性角色施放终结技发动攻击后，为随机不具有风属性弱点的攻击目标添加风属性弱点，并使其风属性抗性降低20%，持续3回合。风属性击破的风化状态变为不可驱散、持续时间无限、最多叠加10层,2.3,加权奇物
通向彗星之路,"人间喜剧, 千面英雄",无,无,「冰」属性我方目标造成伤害提高50%，速度提高10%，提供护盾量提高10%。战斗中同时有3名及以上「冰」属性角色或忆灵时，使效果数值提高原数值的200%，并对我方全体目标生效,2.3,加权奇物
鲁珀特帝国差分机,"人间喜剧, 千面英雄",暴击率 /  暴击伤害 /  祝福获取 /  奇物获取 /  宇宙碎片,无,获得该奇物以及每进入区域时，获得200宇宙碎片，2个随机祝福和2个随机奇物。进入战斗时，我方全体暴击率提高60%，暴击伤害提高16%,2.3,3星
记忆轮,"人间喜剧, 千面英雄",祝福强化 /  微妙的奇物,无,立即获得2个随机方程。每进入区域时，将所有方程置换为随机相同星级方程。进入战斗时，获得所有未展开方程的效果,2.3,3星
瘟疫巢都,"人间喜剧, 千面英雄",无,无,立即获得4个随机负面奇物，进入区域时随机失去最多1个负面奇物，并获得等量随机祝福。每通过这种方式失去1个负面奇物，进入战斗时我方全体造成的伤害提高10%,2.3,3星
与死重逢,"人间喜剧, 千面英雄",方程获取 /  造成伤害,无,立即获得1个当前无法展开的方程。每展开1个方程后，立即获得1个随机当前无法展开方程，最多通过该方式获得3个方程。每有1个展开的方程，使我方全体造成的伤害提高10%,2.3,3星
朋克洛德问候,"人间喜剧, 千面英雄",速度 /  微妙的奇物,无,进入战斗时，我方编队中的第一位角色速度提高40%，最后一位角色速度降低40%,2.3,2星
喜乐熏香,"人间喜剧, 千面英雄",方程获取 /  微妙的奇物,无,获得该奇物时，获得2个随机方程。在【首领】区域进入战斗时，每有1个未展开的方程，敌方全体生命上限提高40%，攻击力提高20%,2.3,2星
塔奥牌,"人间喜剧, 千面英雄",宇宙碎片 /  速度 /  能量恢复 /  祝福获取 /  可损毁,特定事件,依照你的选择，塔奥牌将为你揭示相异的命运选择预兆效果最近能发财吗？积极获取的宇宙碎片数量提高50%。累计进入4个区域后，该奇物损毁获取的宇宙碎片数量提高100%。累计进入3个区域后，该奇物损毁获取的宇宙碎片数量提高200%。累计进入2个区域后，该奇物损毁消极获取的宇宙碎片数量降低30%。累计进入3个区域后，该奇物损毁最近有危险吗？积极进入战斗时，敌方全体行动延后200%。累计进入3个区域后，该奇物损毁我方全体速度提高30%。累计进入3个区域后，该奇物损毁角色受到攻击后，回复等同于生命上限15%的生命值。累计进入3个区域后，该奇物损毁消极进入战斗时，角色受到攻击后，消耗10点能量，持续5回合。累计进入3个区域后，该奇物损毁旅程会顺利吗？积极战斗胜利后，获得1个随机祝福。效果触发2次后，该奇物损毁连续进入相同类型的区域后，获得1个随机祝福。效果触发3次后，该奇物损毁展开1个方程后，获得2个随机祝福。效果触发2次后，该奇物损毁消极累计进入3个区域后，该奇物损毁，并失去2个随机祝福,2.3,2星
鲁珀特帝国机械杠杆,"人间喜剧, 千面英雄",祝福获取 /  可损毁 /  微妙的奇物,无,每次进入区域时，获得1个方程所需的随机祝福，随机失去1个方程不需要的祝福，若没有祝福可以通过该方式失去，该奇物损毁。获得该奇物时，若同时携带全部鲁珀特帝国机械系列奇物，将引发反有机方程的局域共鸣,2.3,1星
鲁珀特帝国机械活塞,"人间喜剧, 千面英雄",奇物获取 /  微妙的奇物,无,每次进入区域时，获得2个随机奇物，有可能是负面奇物，并失去1个随机奇物。若通过该方式将自身丢弃，失去所有奇物。获得该奇物时，若同时携带全部鲁珀特帝国机械系列奇物，将引发反有机方程的局域共鸣,2.3,1星
自我意识的舒张压,"人间喜剧, 千面英雄",造成伤害 /  生命值 /  微妙的奇物,无,进入战斗时会进入自动战斗状态且无法解除。我方全体造成的伤害提高30%，生命上限提高30%,2.3,1星
断骨剑,"人间喜剧, 千面英雄",伤害减免 /  微妙的奇物,无,在第一、二位面中，我方全体受到的伤害提高20%，在第三位面中，我方全体受到的伤害降低12%,2.3,1星
临时赌资,"人间喜剧, 千面英雄",宇宙碎片 /  微妙的奇物,无,立即获得300宇宙碎片，累计进入4个区域后，该奇物损毁，并失去600宇宙碎片,2.3,1星
挣扎的色彩,"人间喜剧, 千面英雄",无,无,进入区域时，额外战利品的出现概率提高，且固定为混沌药箱,2.3,1星
天彗合金,"人间喜剧, 千面英雄",奇物获取,无,获得该奇物时，立即获得奇物【天彗合金Ⅰ型】、【天彗合金Ⅱ型】和【天彗合金Ⅲ型】,2.3,1星
破碎咕咕钟,"人间喜剧, 千面英雄",宇宙碎片,无,战斗胜利后获得的宇宙碎片降低25%，展开1个方程后奇物损毁,2.3,负面奇物
塔洛特玩偶,"人间喜剧, 千面英雄",无,无,进入战斗时，我方全体对敌方目标施放技能时有50%概率选择错误的目标，4次战斗后，该奇物损毁,2.3,负面奇物
绝对失败处方,"人间喜剧, 千面英雄",速度 /  生命值 /  能量恢复 /  战技点 /  弱点,无,为遏止战争的延续，根据患者的病因，处方将为他们带来不同程度的幻觉和干扰效果进入战斗时，敌方全体行动提前100%进入战斗时，我方全体有150%的基础概率陷入冻结状态，持续1回合进入战斗时，我方全体有150%的基础概率陷入裂伤状态，持续5回合，裂伤状态下，回合开始时受到等同于生命上限20%的物理属性持续伤害进入战斗时，我方全体第一次受到攻击后，额外消耗等同于角色当前生命值50%的生命值进入战斗时，我方全体消耗等同于当前生命值50%的生命值进入战斗时，我方全体造成的伤害降低99%，持续1回合进入战斗时，我方全体弱点击破效率降低100%，持续1回合进入战斗时，我方全体损失全部能量并消耗所有战技点,2.3,负面奇物
