名称,命途,模式,TAG,效果,版本
帝弓断空彻太清,巡猎,人间喜剧,行动提前增伤,强化前：角色击破敌方目标弱点后，自身行动提前100%，并使下次攻击造成的伤害提高50%。强化后：角色击破敌方目标弱点后，自身行动提前100%，并使下次攻击造成的伤害提高75%。若该敌方目标为精英敌人，则使我方全体行动提前100%。,1.0
弹铗枕弓，世路干戈,巡猎,千面英雄,,"强化前：我方目标消灭敌方目标后，行动提前100%，并在下个回合开始时获得4层【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。强化后：我方目标速度提高12%，消灭敌方目标后，行动提前100%，并在下个回合开始时获得6层【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】效果。",3.1
白羽奔湍，星海俄空,巡猎,千面英雄,,"强化前：我方目标持有【会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】时，暴击率提高10%，每溢出1%暴击率提高2%暴击伤害，暴击伤害最多提高180%。强化后：我方目标持有【悬浮框会心由特定「巡猎」命途祝福施加的增益效果。
每层使暴击率提高6%，暴击伤害提高12%，该效果最多叠加8层，可以传递给下一个回合开始的我方目标。当任意我方目标受到攻击后层数清零。】时，暴击率提高15%，每溢出1%暴击率提高2%暴击伤害，暴击伤害最多提高270%。",3.1
万乘之变，可堪试勇,巡猎,千面英雄,,强化前：我方目标击破敌方目标弱点后，自身行动提前100%，并使下次攻击造成的伤害提高50%。强化后：我方目标击破敌方目标弱点后，自身行动提前100%，并使造成的伤害提高75%，伤害提高效果最多叠加2层，持续至受到攻击后。,3.1
类星体熔毁常数,毁灭,人间喜剧,命途机制击破特攻,"强化前：角色每损失或治疗自身生命值20%，获得1层【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】效果，每回合最多获得8层。累计损失或治疗自身100%的生命值后，使角色击破特攻提高30%。强化后：角色每损失或治疗自身生命值16%，获得1层【悬浮框战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】效果，每回合最多获得12层。累计损失或治疗自身100%的生命值后，使角色击破特攻提高45%。",2.3
临界密度扩张群,毁灭,人间喜剧,命途机制,"强化前：角色每次损失或治疗自身生命值，获得2层【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】效果，该效果每次受到攻击最多触发1次。强化后：角色每次损失或治疗自身生命值，获得2层【悬浮框战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】效果，并使随机1名队友获得1层【战意由特定「毁灭」命途祝福施加的增益效果。
每层使攻击力提高3%，防御力提高3%，该效果最多叠加35层。】效果，该效果每次受到攻击最多触发1次。",2.3
湮灭回归不等式,毁灭,人间喜剧,伤害减免,强化前：受到攻击时，角色所受伤害将由我方全体分摊。强化后：角色受到的伤害降低15%，受到攻击时，角色所受伤害将由我方全体分摊。,1.0
超高速云际介质,毁灭,千面英雄,,强化前：受到攻击时，我方目标所受伤害将由我方全体分摊。强化后：我方目标受到的伤害降低15%，受到攻击时，我方目标所受伤害由我方全体分摊。,3.1
无毛超光速暴涨,毁灭,千面英雄,,强化前：【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】充能效率提高20%，回合开始时清除【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】的比例变为45%。强化后：【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】充能效率提高30%，回合开始时清除【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】的比例变为50%。,3.1
随机自由程激波,毁灭,千面英雄,,强化前：我方目标发动攻击后，对攻击目标造成等同于【耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】30%的附加伤害。强化后：我方目标发动攻击后，对攻击目标造成等同于【悬浮框耀变生命值变化值或护盾降低值的30%会转化为【耀变】充能值，充能值在回合开始时清除60%，【耀变】可基于该充能值造成伤害等效果。】45%的附加伤害。,3.1
《葡萄庄园•抵抗黑夜》,欢愉,人间喜剧,命途机制,强化前：角色每次施放普攻/战技/终结技后，都会使下次发动追加攻击后，额外造成1次等同于角色攻击力80%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，通过该方式最多造成5次。强化后：角色每次施放普攻/战技/终结技后，都会使下次发动追加攻击后，额外造成1次等同于角色攻击力120%的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，通过该方式最多造成5次。,2.3
《四号屠场•众生安眠》,欢愉,人间喜剧,命途机制,强化前：角色发动追加攻击后，对受到攻击的敌方目标造成1次等同于角色攻击力80%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。若敌方目标处于弱点击破状态，则额外造成1次伤害。强化后：角色发动追加攻击后，对受到攻击的敌方目标造成1次等同于角色攻击力80%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。若敌方目标处于弱点击破状态，则额外造成2次伤害。,1.0
《斩首之邀•暗箱哭泣》,欢愉,人间喜剧,行动延后,强化前：角色对敌方目标发动追加攻击后，使其行动延后25%，敌方目标每回合最多触发2次。强化后：角色对敌方目标发动追加攻击后，使其行动延后25%，敌方目标每回合最多触发3次。,2.3
《甘草披萨•薄荷刨冰》,欢愉,千面英雄,,强化前：我方目标发动追加攻击后，对攻击目标造成1次等同于攻击力50%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，造成【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，额外以15%的比例触发1次【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。强化后：我方目标发动追加攻击后，对攻击目标造成1次等同于攻击力75%的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，造成【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害时，额外以20%的比例触发1次【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。,3.1
《海洋上校•昨日世界》,欢愉,千面英雄,,强化前：我方目标施放终结技后，下2次攻击会对受到攻击的敌方目标造成1次等同于攻击力100%的【回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害。强化后：我方目标施放终结技后，下2次攻击会对受到攻击的敌方目标造成1次等同于攻击力110%的【悬浮框回味由特定「欢愉」命途祝福造成的随机属性追加攻击伤害。】伤害，本次终结技也会触发该效果。,3.1
《日出黄沙•单人舞团》,欢愉,千面英雄,,强化前：我方目标对敌方目标发动追加攻击后，使其行动延后25%，敌方目标每回合最多触发2次。强化后：我方目标对敌方目标发动追加攻击后，使其行动延后30%，敌方目标每回合最多触发3次。,3.1
子囊释放,繁育,人间喜剧,命途机制速度,强化前：角色每消耗1个战技点，使敌方全体获得1个【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】。强化后：角色每消耗1个战技点，使敌方全体获得1个【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】。若将战技点消耗至0，则使消耗最后一个战技点的角色速度提高20%，持续2回合。,1.3
菌种脓疱,繁育,人间喜剧,命途机制,强化前：角色每恢复1个战技点，使随机2名敌方目标获得1个【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】。强化后：角色每恢复1个战技点，使随机2名敌方目标获得1个【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】，【孢子当持有数量大于等于3个时，会在受到角色攻击时爆裂，对持有目标造成不受加成影响的风属性附加伤害。爆裂后会传播给随机相邻目标，且无法二次传播，每个敌方目标最多持有6个。】持有上限提高至9个。,1.3
镰刀肢足,繁育,人间喜剧,暴击伤害,强化前：角色施放终结技后，下一次消耗战技点时会被视为额外消耗1个战技点。每消耗1个战技点，角色暴击伤害提高40%，该效果最多叠加2层，持续至该角色施放攻击后。强化后：角色施放终结技后，下一次消耗或恢复战技点时会被视为额外消耗或恢复1个战技点。每消耗或恢复1个战技点，角色暴击伤害提高45%，该效果最多叠加2层，持续至该角色施放攻击后。,1.3
穆氏拟态,繁育,千面英雄,,强化前：我方目标攻击力提高50%，每获得或消耗1个战技点，为【魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】充能6%。强化后：我方目标攻击力提高75%，每获得或消耗1个战技点，为【悬浮框魂茧【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】充能9%。,3.1
弹射孢子,繁育,千面英雄,,强化前：【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，我方目标造成的普攻/战技伤害提高40%，且【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】会额外造成1次原伤害15%的真实伤害。强化后：【悬浮框蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】状态下，我方目标造成的普攻/战技伤害提高80%，且【蝶魄【魂茧】为我方全体共享的充能比例，达到100%时变为【蝶魄】。进入【蝶魄】状态后，我方目标接下来8次施放普攻/战技发动攻击后，对攻击目标造成1次等同于除附加伤害外原伤害50%的真实伤害。】会额外造成1次原伤害15%的真实伤害。,3.1
布勒水滴,繁育,千面英雄,,强化前：我方目标消耗战技点后，我方全体暴击伤害提高2%，最多叠加35层，施放终结技后，下次消耗战技点后视为额外消耗1点。强化后：我方目标消耗或获得战技点后，我方全体暴击伤害提高3%，最多叠加35层，施放终结技后，下次消耗或获得战技点后视为额外消耗或获得1点。,3.1
BCI-34型灰质,智识,人间喜剧,命途机制,强化前：进入战斗时，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能65%。角色击破敌方目标弱点后，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能35%。强化后：进入战斗时，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能100%。角色击破敌方目标弱点，或攻击处于弱点击破状态下的敌方目标时，分别为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能40%或5%，该效果每次攻击对每个敌方单体最多触发1次。,1.6
SMR-2型杏仁核,智识,人间喜剧,命途机制速度,强化前：角色使敌方目标受到致命伤害时，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能50%。强化后：角色使敌方目标受到致命伤害时，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能50%，每次充满【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】后，使角色速度提高20%，持续2回合。,1.6
VEP-18型枕叶,智识,人间喜剧,抗性穿透,强化前：角色造成的终结技伤害的全属性抗性穿透提高20%，施放终结技后，每有1个受到攻击的敌方目标，都会使造成的终结技伤害的全属性抗性穿透额外提高3%，持续至下一次施放终结技后。强化后：角色造成的终结技伤害的全属性抗性穿透提高25%。基于本场战斗中已施放的终结技单次攻击敌方目标的最大数量，每1名都会使造成的终结技伤害的全属性抗性穿透额外提高3%。,1.6
DBS-45式伏隔核,智识,千面英雄,,强化前：我方目标使敌方目标受到致命伤害时，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能50%。强化后：我方目标使敌方目标受到致命伤害时，为【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能50%，每次充满【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】后，速度提高20%，持续2回合。,3.1
ELO-536式黑质,智识,千面英雄,,强化前：我方目标造成的终结技伤害的全属性抗性穿透提高20%，场上每有一名敌方目标，都会使造成的终结技伤害的全属性抗性穿透额外提高3%，持续至下一次施放终结技后。强化后：我方目标造成的终结技伤害的全属性抗性穿透提高25%，场上每有一名敌方目标，都会使造成的终结技伤害的全属性抗性穿透额外提高3%，持续至下一次施放终结技后。,3.1
TR-303式海马体,智识,千面英雄,,强化前：我方目标击破敌方目标弱点后，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能10%，若为精英敌人时则额外充能40%。强化后：进入战斗时，为【悬浮框罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能100%。我方目标击破敌方目标弱点后，为【罐中脑若【罐中脑】的启迪充能比例达到100%，角色使用【罐中脑】以外的方式施放终结技后，会再次激活终结技，通过该方式施放终结技会消耗100%的启迪充能。】充能12%，若为精英敌人时则额外充能50%。,3.1
第二乐章：牧神的早餐,同谐,千面英雄,,强化前：我方目标攻击处于弱点击破状态下的敌方目标后，以8%的比例触发1次【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】伤害。强化后：我方目标攻击处于弱点击破状态下的敌方目标后，以10%的比例触发1次【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】伤害，【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】伤害倍率提高原倍率的20%。,3.1
第三乐章：回旋曲式,同谐,千面英雄,,强化前：我方目标击破敌方目标弱点时，以50%的比例额外触发其余持有弱点的弱点击破效果。强化后：我方目标击破敌方目标弱点时，以80%的比例额外触发其余持有弱点的弱点击破效果。,3.1
第一乐章：鸣蛙与骑士,同谐,千面英雄,,强化前：敌方目标每受到10点实际削韧值，陷入1层【和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】。强化后：敌方目标每受到10点实际削韧值，陷入1层【悬浮框和音持有者受到的击破伤害提高25%。回合开始时，若处于弱点击破状态，则基于【和音】层数，每层受到60%基础伤害的量子属性击破伤害，最多叠加40层，从弱点击破状态恢复时清除。】，处于弱点击破状态时受到的实际削韧值也会被计入。,3.1
星间构筑•切变结构,存护,人间喜剧,命途机制,强化前：角色对敌方目标造成的【反震由特定「存护」命途祝福造成的附加伤害。】伤害提高10%，且同时会对其相邻目标造成等同于主目标25%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害。强化后：角色对敌方目标造成的【反震由特定「存护」命途祝福造成的附加伤害。】伤害提高15%，且同时会对其他敌方目标造成等同于主目标30%的【反震由特定「存护」命途祝福造成的附加伤害。】伤害。,1.0
星间构筑•固溶强化,存护,人间喜剧,命途机制,强化前：角色对敌方目标造成【反震由特定「存护」命途祝福造成的附加伤害。】时的伤害提高，提高数值等同于角色当前防御力的80%。强化后：角色对敌方目标造成【反震由特定「存护」命途祝福造成的附加伤害。】时的伤害提高，提高数值等同于角色当前防御力的120%。,1.0
