黄金裔,祝颂,等级,效果
那刻夏,诸因解明,1,立即获得1个可损毁奇物。每当奇物损毁或被丢弃时，立即获得35宇宙碎片，每个区域最多生效5次。进入白昼时，我方目标造成的最终伤害提高25%，持续2回合。
那刻夏,因与果之术,2,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入白昼时，我方目标造成的最终伤害提高25%，持续2回合。
那刻夏,魂与肉之术,2,奇物损毁或丢弃时获得的宇宙碎片变为45。进入【首领】区域时，修复1个随机已损毁1-3星奇物。
那刻夏,智与狂之术,2,立即舍弃5个负面奇物。若持有的负面奇物数量小于等于1个，基础效果中，我方目标造成的最终伤害额外提高60%。
那刻夏,乃通达至理,3,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入白昼时，我方目标造成的最终伤害提高30%，持续2回合。
那刻夏,乃明晰自我,3,本次模拟宇宙中，每通过该金血祝颂获得100宇宙碎片，基础效果中，我方目标造成的最终伤害额外提高12%。
那刻夏,乃解体诸神,3,累计损毁或丢弃3个奇物后，立即获得1个随机1-2星可损毁奇物。每个区域只能触发1次。
白厄,负世之剑,1,进入白昼时，当前队伍中的第一位角色获得【黎明】，持续2回合。持有【黎明】的角色，造成的最终伤害提高100%。
白厄,无罪者的启程,2,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入白昼时，我方目标造成的最终伤害提高25%，持续2回合。
白厄,失却者的苦难,2,【黎明】提供的最终伤害提高变为80%，不再有持续回合限制，昼夜切换后失效。
白厄,寻道者的召唤,2,持有【黎明】的角色，造成的暴击伤害提高160%。
白厄,负世者的试炼,3,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入白昼时，我方目标造成的最终伤害提高30%，持续2回合。
白厄,负世者的跨越,3,本祝颂及其强化效果在夜晚与进入夜晚时也生效且不重置。
白厄,负世者的归返,3,每次进入白昼时，我方目标造成的最终伤害提高16%，可叠加。
赛飞儿,捷足飞贼,1,战斗中消灭精英敌人可以获得额外50宇宙碎片，该效果每场战斗最多触发1次。处于黑夜时，对精英敌人的最终伤害提高30%，受到精英敌人的伤害降低10%。
赛飞儿,扯谎不眨眼,2,黑夜占比增加25%。处于黑夜时，消灭精英敌人获得的额外宇宙碎片提高35。首个昼夜切换后该效果失效。
赛飞儿,行骗不露怯,2,进入战斗时，若有超过500宇宙碎片，黑夜时我方目标对精英敌人的最终伤害额外提高80%。
赛飞儿,诈窃不留痕,2,基础效果中，消灭精英敌人获得额外宇宙碎片的次数提高2次。
赛飞儿,长夜利好偷儿,3,黑夜占比增加25%，黑夜时我方目标对精英敌人的最终伤害额外提高40%。
赛飞儿,宝库难防家贼,3,基础效果中，击杀精英获得的宇宙碎片提高100。
赛飞儿,谎言亦需雕琢,3,本次差分宇宙中，每触发1次该祝颂的获得宇宙碎片效果，处于黑夜时，施放攻击后，对攻击目标造成40%攻击力的附加伤害。
万敌,沐血而冠,1,处于黑夜时，单名我方目标累计生命值降低50%后激活效果：我方全体回合结束时回复等同于自身生命上限20%的生命值，黑夜中最终伤害提高25%，昼夜切换后重置。
万敌,矛为神怒,2,本祝颂及其强化效果在白昼也生效且不重置。
万敌,剑为人怨,2,激活效果所需降低的生命值比例提高40%，激活效果后，我方目标在黑夜时造成的最终伤害额外提高30%。
万敌,盾为凯旋,2,激活效果所需降低的生命值比例降低25%，激活效果时，全队回复等同于自身生命上限100%的生命值，且下5次攻击额外回复等同于自身生命上限30%的生命值。
万敌,弑杀万千仇敌,3,黑夜占比增加25%，激活效果后，我方目标在黑夜时造成的最终伤害额外提高40%。
万敌,弑杀无道暴君,3,激活效果后，黑夜中每降低10%生命值，使回复量提高1.0%，造成的最终伤害提高1.0%，单个昼夜内最多提高40%回复量和40%最终伤害，昼夜切换后重置。
万敌,弑杀狂乱神明,3,激活效果后，黑夜中我方目标生命上限提高，数值等同于当前生命上限的16%。
遐蝶,与死合掌,1,处于黑夜时，我方目标生命上限提高30%。生命降低后下一次攻击造成的最终伤害提高50%。
遐蝶,终凋零的,2,黑夜占比增加25%，我方目标生命降低后的最终伤害提高额外提高40%。
遐蝶,终枯萎的,2,本祝颂及其强化效果在白昼也生效且不重置。
遐蝶,终逝去的,2,处于黑夜时，我方目标回复的非溢出生命值，在本祝颂及其强化效果内也被视为生命降低。
遐蝶,荒冢前的繁花,3,黑夜占比增加25%，黑夜中我方目标生命上限额外提高45%。
遐蝶,枯枝发的新芽,3,处于黑夜时，我方目标每累计降低50%生命值，使生命上限提高5.0%，单个昼夜内最多叠加65%，昼夜切换后重置。
遐蝶,归途上的蝴蝶,3,我方目标每次生命值降低后，使造成的最终伤害提高2%，单次行动内最多触发1次，单个昼夜内最多叠加60%，昼夜切换后重置。
三月七,长夜有梦,1,处于黑夜时，场上每有1名我方目标，造成的最终伤害提高5%，最多不超过40%。
三月七,晨星已缄默,2,黑夜占比增加25%。处于黑夜时，我方目标造成的最终伤害提高20%。
三月七,晚风正驻足,2,进入黑夜时，场上每有1名我方目标，我方目标造成的最终伤害提高8%，持续2回合。
三月七,夜帷仍啜泣,2,处于黑夜时，我方目标施放攻击后，额外造成等同于我方全体目标生命上限之和18%的附加伤害。
三月七,探访未来之梦,3,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入黑夜时，我方目标造成的最终伤害提高30%，持续2回合。
三月七,探访过去之梦,3,本祝颂及其强化效果在白昼与进入白昼时也生效且不重置。
三月七,探访救赎之梦,3,处于黑夜时，我方目标离场/消失/陷入无法战斗状态时，所有我方目标造成的最终伤害提高15%，单个昼夜内最多叠加60%，昼夜切换后重置。
刻律德菈,于火执棋,1,进入黑夜时，当前队伍中的第一位角色获得2层【征服】。持有【征服】的角色在回合/额外回合结束时消耗1层【征服】，使自身行动提前100%/获得1个额外回合，造成的最终伤害提高10%，持续至自身下一回合结束。
刻律德菈,攻城的兵,2,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入黑夜时，我方目标造成的最终伤害提高25%，持续2回合。
刻律德菈,倒戈的象,2,消耗【征服】后速度提高60%，昼夜切换后失效。
刻律德菈,横行的马,2,进入黑夜时，恢复5点战技点，当前队伍中的第一位角色额外获得1层【征服】。
刻律德菈,斩碎旧律的王,3,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入黑夜时，我方目标造成的最终伤害提高30%，持续2回合。
刻律德菈,衡量此世的王,3,本祝颂及其强化效果在白昼与进入白昼时也生效且不重置。
刻律德菈,火中戴冠的王,3,处于黑夜时，当前队伍中的第一位角色每次行动使自身造成的最终伤害提高5%，单个昼夜内最多叠加80%，昼夜切换后重置。
丹恒腾荒,连山掣地,1,进入黑夜时，我方全体目标获得等同于生命上限75%的护盾并获得【岩晶】。持有【岩晶】的我方目标，造成的最终伤害提高50%。当我方目标未持有护盾或进入白昼时，移除其身上的【岩晶】。
丹恒腾荒,啃噬磐岩之牙,2,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入黑夜时，我方目标造成的最终伤害提高25%，持续2回合。
丹恒腾荒,点燃星火之息,2,处于黑夜时，我方目标每经过2回合，获得等同于生命上限100%的护盾，持续2回合。
丹恒腾荒,洞察亘古之瞳,2,处于黑夜时，我方目标每次获得护盾时，黑夜中造成的最终伤害提高3%，单个昼夜内最多叠加24%。
丹恒腾荒,奔袭尘世之踵,3,白昼与黑夜切换间隔缩短25%，最多缩短50%。进入黑夜时，我方目标造成的最终伤害提高30%，持续2回合。
丹恒腾荒,撕裂群山之爪,3,本祝颂及其强化效果在白昼与进入白昼时也生效，且可继续叠加并重置叠加上限。
丹恒腾荒,无终永劫之躯,3,持有【岩晶】的我方目标获得护盾时，回复等同于其生命上限8%的生命值并使造成的最终伤害提高4%，单个昼夜内最多叠加60%，昼夜切换后重置。
